model,layer,variant,stopped_epoch,mse,variance_explained,logitlens_acc,ce_id,ce_sae,ce_zero,loss_recovered
gpt2,6,soft,20,0.9616373174513673,0.9920449306039333,0.8576836452180545,4.002592382249897,4.161351890775516,14.203151828770157,0.9844381431341336
gpt2,7,soft,20,1.3564917394738247,0.9891318369884788,0.8500550151142606,4.002592382249897,4.1612128576604785,11.876739817108223,0.9798607371228274
gpt2,8,soft,20,1.9702270996195603,0.9846652016044906,0.8391512975225324,4.002592382249897,4.174137383074247,18.118210757072635,0.987851948245924
gpt2,9,soft,20,3.111795123566922,0.9765994915969597,0.8396378932984838,4.002592382249897,4.203026067819044,12.421524576694956,0.976200735740748
gpt2,10,soft,20,5.489679647042524,0.9605302282065391,0.8597273474770506,4.002592382249897,4.28630629728676,10.8465508027701,0.9585639915088404
gpt2,11,soft,20,9.362607308132322,0.8151678695624076,0.9391934029529412,4.002592382249897,4.474200367629704,8.349561305517124,0.89153715274557
llama,0,hard,20,0.0006040680236219322,-0.03403405466711234,0.025007502250675204,2.694954429838567,9.239794774970953,11.747600121382568,0.2771478456953695
llama,1,hard,20,0.5536016862876982,0.020828225990881133,0.010647424996729788,2.694954429838567,12.40065685571056,11.747600121382568,-0.0722035404902726
llama,2,hard,20,0.5534277333040692,0.02206895887526543,0.011109101961357637,2.694954429838567,12.051682692307692,11.747600121382568,-0.03365499183742644
llama,3,hard,7,0.5556524564542594,0.01968205600534132,0.009958756857826578,2.6951638676699163,12.264465878225005,11.753153590307862,-0.05654597992405139
llama,4,hard,20,0.5562658989546242,0.020779912514593976,0.02151799385969637,2.694954429838567,11.733438180492609,11.747600121382568,0.001518750240793481
llama,5,hard,20,0.5593295469121636,0.017635402431982337,0.020136810273851388,2.694954429838567,11.411728446418541,11.747600121382568,0.037082137824609195
llama,6,hard,17,0.5590958335275777,0.020423543965305303,0.018467078585113997,2.695172283656251,12.014918898746547,11.748321251183047,-0.029522258460664964
llama,7,hard,15,0.5612108579829455,0.01923083029524876,0.004393625780041705,2.694767985684167,11.251846226945007,11.748929967451774,0.054875958972574565
llama,8,hard,11,0.5615088958702961,0.020683913062563244,0.003018213156254569,2.695705736961473,11.875015028547026,11.750740005655542,-0.01380093713709056
llama,9,hard,19,0.5659718465086739,0.015378230670671613,0.002418033102238364,2.694832548322189,10.859495468832957,11.747780463946876,0.09805034914386372
llama,10,hard,20,0.573066726491363,0.018476109612373413,0.012813459422442117,2.694954429838567,10.731942900177746,11.747600121382568,0.11223741662900447
llama,11,hard,15,0.5750507330818979,0.016305596652358666,0.014196566662306384,2.694767985684167,10.51944429482691,11.748929967451774,0.1357954233443432
llama,12,hard,20,0.5775966854508703,0.01443961647382929,0.003981963819915205,2.694954429838567,11.061313466155232,11.747600121382568,0.07579429668843776
llama,13,hard,11,0.5806986705506847,0.012397281873985757,0.002073699032786759,2.695705736961473,11.270841108101662,11.750740005655542,0.052954057763822046
llama,14,hard,7,0.5835662612014046,0.01184635986093825,0.003068228160755919,2.6951638676699163,10.949027136025423,11.753153590307862,0.08874140514270609
llama,15,hard,16,0.5890969197008603,0.010113816964617231,0.005174629311870484,2.695499845867222,12.257386951662422,11.752089929863574,-0.055996537961897984
llama,16,hard,20,0.595916590207746,0.007412130737335691,0.00691168889128277,2.694954429838567,11.129490409622887,11.747600121382568,0.06820086085214681
llama,17,hard,12,0.6048082226306871,0.006464759844527653,0.010441594016666538,2.6955389802036764,10.93784373292757,11.749117764175406,0.08962706661336327
